English,standard bangla,romanized bangla,chakma,romanized chakma
I'm going to a technology expo next week.,আমি পরের সপ্তাহে একটি প্রযুক্তি এক্সপোতে যাচ্ছি।,Ami porer shoptahe ekti projukti expo-te jacchi.,মুই পর সাপ্তাত ইজ্ঞু প্রযুক্তি এক্সপোত যাঙর,Mui por shaptaat igne projukti expo-t jaangor
What is your favorite type of wine?,তোমার প্রিয় মদের ধরণ কী?,Tomar priyo moder dhoron ki?,ত প্রিয় মদ আন হিদিক্কিন,To priyo mod aan hidikkin
Can you please pass me the salt and pepper?,আপনি কি দয়া করে আমাকে লবণ এবং মরিচ পাস করতে পারবেন?,Apni ki doya kore amake lobon ebong morich pass korte parben?,তুই হি মরে হুজুলি গুরি মরিচ আর নুন আন দি পারিবি?,Tui hi more hujuli guri morich aar nun aan di paribi?
I'm going to a movie premiere next month.,আমি পরের মাসে একটি চলচ্চিত্র প্রিমিয়ারে যাচ্ছি।,Ami porer mashe ekti cholocchitro premiere-e jacchi.,মুই পর মাজত ইজ্ঞু চলচিত্র প্রিমিয়ারত যাঙর।,Mui por majot igne cholochitro premiere-ot jaangor.
What is your favorite type of biscuit?,তোমার প্রিয় বিস্কুটের ধরণ কী?,Tomar priyo biscuit-er dhoron ki?,ত প্রিয় বিস্কুট আন হিদিক্কন ?,To priyo biskut aan hidikkon?
What is your favorite type of vegetable?,তোমার প্রিয় সবজির ধরণ কী?,Tomar priyo shobjir dhoron ki?,ত প্রিয় সবজি আন হিদিক্কন?,To priyo shobji aan hidikkon?
Can you recommend a good place to go hiking?,আপনি কি একটি ভালো স্থান সুপারিশ করতে পারেন একটি হাইকিং করার জন্য?,Apni ki ekti bhalo sthan shuparish korte paren ekti hiking korar jonno?,তুই হি মরে ইজ্ঞু গম যাগা সুপারিশ গুরি পারিবি হাইকিং অর লাই।,Tui hi more igne gom jaga shuparish guri paribi hiking or lai.
I'm going to a comedy movie tonight.,আমি আজ রাতে একটি কমেডি চলচ্চিত্রে যাচ্ছি।,Ami aaj rate ekti comedy cholocchitre jacchi.,মুই ইচ্ছি রেডত ইজ্ঞু কমেডি চলচিত্র যাঙর।,Mui icchi redot igne comedy cholochitro jaangor.
What is your favorite type of sauce?,তোমার প্রিয় সসের ধরণ কী?,Tomar priyo sauce-er dhoron ki?,ত প্রিয় সস আন হিদিক্কন?,To priyo sos aan hidikkon?
What is your favorite type of juice?,তোমার প্রিয় রসের ধরণ কী?,Tomar priyo rosher dhoron ki?,ত প্রিয় রস আন হিদিক্কিন?,To priyo ros aan hidikkin?
Could you please make a photocopy of this document?,আপনি কি দয়া করে এই দস্তাবেজের একটি ফটোকপি তৈরি করতে পারেন?,Apni ki doya kore ei dostabej-er ekti photocopy toiri korte paren?,তুই হি মরে হুজুলি গুরি এই দস্তাবেজর ইজ্ঞু ফটোকপি দি পারিবি?,Tui hi more hujuli guri ei dostabejor igne photocopy di paribi?
I'm going to a poetry slam tonight.,আমি আজ রাতে একটি কবিতা স্ল্যামে যাচ্ছি।,Ami aaj rate ekti kobita slam-e jacchi.,মুই ইচ্ছি রেডট ইজ্ঞু কবিতা স্লামত যাঙর।,Mui icchi redot igne kobita slam-ot jaangor.
What is your favorite type of coffee?,তোমার প্রিয় কফির ধরণ কী?,Tomar priyo coffee-r dhoron ki?,ত প্রিয় কফি আন হিদিক্কন?,To priyo coffee aan hidikkon?
I need to buy a new phone charger.,আমার একটি নতুন ফোন চার্জার কিনতে হবে।,Amar ekti notun phone charger kinte hobe.,মর ইজ্ঞু নুয়ো ফনো চার্জার হিনা পুরিবু।,Mor igne nuyo phono charger hina puribu.
I need to buy a new phone charger.,আমার একটি নতুন ফোন চার্জার কিনতে হবে।,Amar ekti notun phone charger kinte hobe.,মর ইজ্ঞু নুয়ো ফনো চার্জার হিনা পুরিবু।,Mor igne nuyo phono charger hina puribu.
What is your favorite type of sport?,তোমার প্রিয় খেলার ধরণ কী?,Tomar priyo khelar dhoron ki?,ত প্রিয় হারা আন হিদিক্কন?,To priyo hara aan hidikkon?
Could you please close the window?,আপনি কি দয়া করে জানালাটি বন্ধ করতে পারবেন?,Apni ki doya kore janala-ti bondho korte parben?,তুই হি হুজুলি গুরি জানালা  আন বন্ধ গুরি পারিবি?,Tui hi hujuli guri janala aan bondho guri paribi?
I'm going to a comedy club next week.,আমি পরের সপ্তাহে একটি কমেডি ক্লাবে যাচ্ছি।,Ami porer shoptahe ekti comedy club-e jacchi.,মুই পর সাপ্তাত কমেডি ক্লাবত যাঙর।,Mui por shaptaat comedy club-ot jaangor.
What is your favorite type of pizza?,তোমার প্রিয় পিজার ধরণ কী?,Tomar priyo pizza-r dhoron ki?,ত প্রিয় পিজা আন হিদিক্কন।,To priyo pizza aan hidikkon.
I'm going to a dance performance next month.,আমি পরের মাসে একটি নৃত্য প্রদর্শনে যাচ্ছি।,Ami porer mashe ekti nritto prodorshone jacchi.,মুই পর মাজত ইগু নৃত্য প্রদর্শনীত যাঙর।,Mui por majot igu nritto prodorshonit jaangor.
What is your favorite type of dessert?,তোমার প্রিয় ডিজার্টের ধরণ কী?,Tomar priyo dessert-er dhoron ki?,ত প্রিয় ডিজার্ত আন হিদিক্কন?,To priyo desert aan hidikkon?
Please make a reservation for two.,দয়া করে দুইটির জন্য রিজার্ভেশন করুন।,Doya kore duiti-r jonno reservation korun.,হুজুলি গুরি দি আনোর লাই বিজার্ভ গুরিজ।,Hujuli guri di aanor lai reserve gurijo.
I'm going to the park with my friends.,আমি আমার বন্ধুদের সাথে পার্কে যাচ্ছি।,Ami amar bondhuder shathe park-e jacchi.,মুই ম সমাজ্জি উন লোই পার্কত যাঙর।,Mui mo shomajji un loi park-ot jaangor.
I'm going to a music concert next month.,আমি পরের মাসে একটি সঙ্গীত কনসার্টে যাচ্ছি।,Ami porer mashe ekti shongit concert-e jacchi.,মুই পর মাজত ইজ্ঞু গানর কনসার্টত যাঙর।,Mui por majot igne gaanor concert-ot jaangor.
What is your favorite type of flower?,তোমার প্রিয় ফুলের ধরণ কী?,Tomar priyo fuler dhoron ki?,ত প্রিয় ফুল আন হিদিক্কন?,To priyo phul aan hidikkon?
Can you recommend a good place to have a picnic?,আপনি কি একটি ভালো স্থান সুপারিশ করতে পারেন একটি পিকনিক করার জন্য?,Apni ki ekti bhalo sthan shuparish korte paren ekti picnic korar jonno?,তুই হি ইজ্ঞু গম যাগা সুপারিশ গুরি পারিবি পিকনিকর লাই।,Tui hi igne gom jaga shuparish guri paribi picnic-or lai.
What is your favorite type of book?,তোমার প্রিয় বইর ধরণ কী?,Tomar priyo boi-er dhoron ki?,ত প্রিয় বিদ্যা আন হিদিক্কন?,To priyo bidda aan hidikkon?
